UniqueID,Topic,In_PubMed,NLM_ID,Journal,Counts,Start_Year,End_Year,URL_CNKI,URL_CAOD,CAOD_Coverage_Start_Year,CAOD_Coverage_End_Year,URL,Content,Login,Free/Pay,Language,Notes,Print_ISSN_NLM,Electronic_ISSN_NLM,Linking_ISSN_NLM,MeSH,Indexed_NLM,Indexed_Embase,Indexed_Embase_NLM,Not_Indexed_NLM_and_Embase,Indexed_NLM_not_in_Embase,Archive_Coverage_Start_Year,Archive_Coverage_Start_Year,PubMed_Journal_Status,PubMed_Start_Year,PubMed_End_Year,MEDLINE_Journal_Status,MEDLINE_Start_Year,MEDLINE_End_Year,PMC_Journal_Status,PMC_Start_Year,PMC_End_Year,PMC_Free_access,PMC_Open_access,PMC_Participation_level,PMC_Deposit_status,PMC_Journal_URL
36839,Cancer_1,NO,101479418,Tuberculosis and Respiratory Diseases,30,2004,,NA,NA,NA,NA,https://e-trd.org/articles/archive.php,HTML/PDF,N,Free,English/Korean,,1738-3536,2005-6184,1738-3536,"Respiratory Tract Diseases; Tuberculosis, Pulmonary",YES,YES,YES,NO,NO,1954,,Currently-indexed,2012,,Unknown,Unknown,Unknown,Indexed,2012,2022,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1922/
120850,Child health_1,NO,101585351,Annals of Medical and Health Sciences Research ,15,2011,,NA,NA,NA,NA,https://www.amhsr.org/archive.html,HTML/PDF,N,Free,English,,2141-9248,2277-9205,2141-9248,Medicine,YES,NO,NO,NO,YES,2011,,Deselected,2011,2016,Unknown,Unknown,Unknown,Indexed,2011,2016,0,All, Full , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/journals/1927/
581102,"Ear, nose & throat_1",NO,17040360R,Gazette me?dicale de Paris.,4,1830,1916,NA,NA,NA,NA,https://www.biusante.parisdescartes.fr/histoire/medica/resultats/index.php?fille=o&cotemere=90182&tri=&p=1,PDF,N,Free,French,,NR,NR,NR,NR,YES,NO,NO,NO,YES,1830,1915,Not indexed,NA,NA,Not indexed,NA,NA,Not indexed#,NA,NA,NA,NA,NA,NA,NA
260655,Child health_1,PARTIAL,0335015,Lyon me?dical,9,1869,1985,NA,NA,NA,NA,https://gallica.bnf.fr/ark:/12148/cb343488352/date,PDF,N,Free,French,,0024-7790,NR,0024-7790,Medicine,YES,NO,NO,NO,YES,1869,1940,Deselected,1965,1972,Deselected,1965,1972,Not indexed#,NA,NA,NA,NA,NA,NA,NA
303872,Child health_1,NO,2984763R,Fortschritte der Medizin,6,1883,1999,NA,NA,NA,NA,https://www.springer.com/journal/15006,HTML/PDF,Y/N,Free/Pay,English/German,,0015-8178,NR,0015-8178,Medicine,YES,NO,NO,NO,YES,2006,,Not indexed,NA,NA,Not indexed,NA,NA,Not indexed#,NA,NA,NA,NA,NA,NA,NA
454710,Complementary & alternative medicine_1,NO,0414144,Revue de laryngologie - otologie - rhinologie,4,1889,,NA,NA,NA,NA,http://www.revue-laryngologie.com/archives.lasso,HTML,N,Free,French,,0035-1334,NR,0035-1334,Otolaryngology,YES,YES,YES,NO,NO,1996,2018,Deselected,1965,2015,Deselected,1965,2015,Not indexed#,NA,NA,NA,NA,NA,NA,NA
794440,Gynaecology_1,NO,0413423,"Tidsskrift for den Norske lægeforening : tidsskrift for praktisk medicin, ny række",4,1890,,NA,NA,NA,NA,https://tidsskriftet.no/artikler,HTML,N,Free,English,,0029-2001,0807-7096,0029-2001,Medicine,YES,YES,YES,NO,NO,,,Currently-indexed,1965,,Currently-indexed,1965,,Not indexed#,NA,NA,NA,NA,NA,NA,NA
HTA_7218,,PARTIAL,101518442,The Economic Journal,,1891,,NA,NA,NA,NA,https://onlinelibrary.wiley.com/loi/14680297,HTML/PDF,Y/N,Free/Pay,English,,0013-0133,1468-0297,0013-0133,UPDATE,YES,NO,NO,NO,YES,1997,2019,Selected citations only,Unknown,Unknown,Selected citations only,Unknown,Unknown,Not indexed#,NA,NA,NA,NA,NA,NA,NA
790922,Gynaecology_1,NO,0407300 ,"The Annals of otology, rhinology, and laryngology",4,1897,,NA,NA,NA,NA,https://journals.sagepub.com/loi/AOR,HTML/PDF,Y/N,Free/Pay,English,,0003-4894,1943-572X,0003-4894,Otolaryngology,YES,YES,YES,NO,NO,1897,,Currently-indexed,1965,,Currently-indexed,1965,,Not indexed#,NA,NA,NA,NA,NA,NA,NA
141123,Child health_1,NO,0423236,Nursing times,84,1905,,NA,NA,NA,NA,https://www.nursingtimes.net/digital-edition/,PDF,Y,Pay,English,,0954-7762,NR,0954-7762,Nursing,YES,NO,NO,NO,YES,2017,,Deselected,1966,2015,Deselected,1966,2015,Not indexed#,NA,NA,NA,NA,NA,NA,NA
198758,Child health_1,NO,15210220R,Archives of psychology.,7,1906,1945,NA,NA,NA,NA,https://archivesofpsychology.org/index.php/aop/issue/archive,HTML,N,Free,English,,NR,NR,NR,Psychology,YES,NO,NO,NO,YES,2018,2021,Not indexed,NA,NA,Not indexed,NA,NA,Not indexed#,NA,NA,NA,NA,NA,NA,NA
33737,Cancer_1,PARTIAL,19840710R,Przegla?d dermatologiczny,16,1906,,NA,NA,NA,NA,https://www.termedia.pl/Czasopismo/Przeglad_Dermatologiczny-56,HTML,N,Free,English/Polish,,0033-2526,NR,0033-2526,Dermatology; Sexually Transmitted Diseases,YES,YES,YES,NO,NO,2009,,Not indexed,NA,NA,Not indexed,NA,NA,Not indexed#,NA,NA,NA,NA,NA,NA,NA
790866,Gynaecology_1,NO,0404522,Southern medical journal,4,1908,,NA,NA,NA,NA,https://sma.org/smj-home/archives/,HTML/PDF,Y/N,Free/Pay,English,,0038-4348,1541-8243,0038-4348,General Surgery; Medicine,YES,YES,YES,NO,NO,1908,,Currently-indexed,1965,,Currently-indexed,1965,,Not indexed#,NA,NA,NA,NA,NA,NA,NA
278566,Child health_1,NO,0374613,Fogorvosi szemle,8,1908,,NA,NA,NA,NA,https://ojs.mtak.hu/index.php/fogorv-szemle/issue/view/771,HTML,N,Free,Hungarian,,0015-5314,NR,0015-5314,Dentistry,YES,NO,NO,NO,YES,2010,,Deselected,1986,2017,Deselected,1986,2017,Not indexed#,NA,NA,NA,NA,NA,NA,NA
320468,Child health_1,NO,0422566,Zahna?rztliche Mitteilungen,4,1909,,NA,NA,NA,NA,https://www.zm-online.de/archiv/,HTML,N,Free,German,,0044-1643,NR,0044-1643,Dentistry,YES,NO,NO,NO,YES,2002,,Deselected,1965,1991,Deselected,1965,1991,Not indexed#,NA,NA,NA,NA,NA,NA,NA
476861,Complementary & alternative medicine_1,NO,15730430R,The British homoeopathic journal,4,1911,2001,NA,NA,NA,NA,https://www.sciencedirect.com/journal/british-homoeopathic-journal/issues,HTML/PDF,Y/N,Free/Pay,English,,0007-0785,NR,0007-0785,Homeopathy,YES,NO,NO,NO,YES,1945,2001,Not indexed,NA,NA,Not indexed,NA,NA,Not indexed#,NA,NA,NA,NA,NA,NA,NA
66909,Cancer_1,NO,0204056,Prensa me?dica argentina,48,1914,,NA,NA,NA,NA,https://prensamedica.com.ar/,PDF,N,Free,Spanish,,0032-745X,NR,0032-745X,Medicine,YES,NO,NO,NO,YES,2015,,Deselected,1965,1972,Deselected,1965,1972,Not indexed#,NA,NA,NA,NA,NA,NA,NA
19367,Blood disorders_1,NO,7505876 ,Proceedings of the National Academy of Sciences of the United States of America,14,1915,,NA,NA,NA,NA,https://www.ncbi.nlm.nih.gov/pmc/journals/2/,HTML/PDF,N,Free,English,,0027-8424,1091-6490,0027-8424,Science,YES,YES,YES,NO,NO,1915,,Currently-indexed,1915,,Currently-indexed,1965,,Indexed,1915,2022,6 months or less,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2/
220843,Child health_1,NO,9875413,Nassp Bulletin.,4,1917,19uu,NA,NA,NA,NA,https://journals.sagepub.com/loi/BUL,HTML/PDF,Y/N,Free/Pay,English,,0192-6365,NR,0192-6365,UPDATE,YES,NO,NO,NO,YES,1917,,Not indexed,NA,NA,Not indexed,NA,NA,Not indexed#,NA,NA,NA,NA,NA,NA,NA
790885,Gynaecology_1,NO,0370354,Acta oto-laryngologica,4,1918,,NA,NA,NA,NA,https://www.tandfonline.com/loi/ioto20,HTML/PDF,Y/N,Free/Pay,English,,0001-6489,1651-2251,0001-6489,Otolaryngology,YES,YES,YES,NO,NO,1918,,Currently-indexed,1965,,Currently-indexed,1965,,Not indexed#,NA,NA,NA,NA,NA,NA,NA
438339,Complementary & alternative medicine_1,NO,0401151,La Presse thermale et climatique,4,1920,1999,NA,NA,NA,NA,http://www.socmedthermale.org/presse-thermale-et-climatique/#53-80-wpfd-2021-1641985095,PDF,N,Free,English/French,,0032-7875,NR,0032-7875,Hydrotherapy; Therapeutics,YES,NO,NO,NO,YES,1954,,Deselected,1965,1972,Deselected,1965,1972,Not indexed#,NA,NA,NA,NA,NA,NA,NA
5215,Allergy & intolerance_1,NO,0370355,Acta oto-laryngologica. Supplementum,7,1920,2013,NA,NA,NA,NA,https://www.tandfonline.com/loi/ioto20,HTML/PDF,N,Free/Pay,English,,0365-5237,NR,0365-5237,Otolaryngology,YES,NO,NO,NO,YES,1918,,Continued-by-another-title,1969,2013,Continued-by-another-title,1969,2013,Not indexed#,NA,NA,NA,NA,NA,NA,NA
202734,Child health_1,NO,0200547,L' Orthodontie franc?aise,5,1921,,NA,NA,NA,NA,https://orthodfr.edpsciences.org/component/issues/?task=all&Itemid=121,HTML,N,Free,English/French,,0078-6608,1954-3395,0078-6608,Orthodontics,YES,YES,YES,NO,NO,2000,2019,Currently-indexed,1965,,Currently-indexed,1965,,Not indexed#,NA,NA,NA,NA,NA,NA,NA
158375,Child health_1,NO,9879946,The Prison journal,19,1921,,NA,NA,NA,NA,https://journals.sagepub.com/home/tpj,HTML/PDF,Y/N,Free/Pay,English,,0032-8855,NR,0032-8855,UPDATE,YES,NO,NO,NO,YES,1921,,Selected citations only,Unknown,Unknown,Unknown,Unknown,Unknown,Not indexed#,NA,NA,NA,NA,NA,NA,NA
26382,Blood disorders_1,NO,2985039R,Pediatria polska,4,1921,,NA,NA,NA,NA,https://www.termedia.pl/Journal/Pediatria_Polska-127/Archive,HTML,N,Free,English/Polish,,0031-3939,NR,0031-3939,Pediatrics,YES,YES,YES,NO,NO,2017,,Not indexed,NA,NA,Not indexed,NA,NA,Not indexed#,NA,NA,NA,NA,NA,NA,NA
212040,Child health_1,NO,20810070R ,Social forces; a scientific medium of social study and interpretation,8,1922,,NA,NA,NA,NA,https://academic.oup.com/sf/issue,HTML/PDF,N,Free,English,,0037-7732,1534-7605,0037-7732,Sociology,YES,NO,NO,NO,YES,1922,,Not indexed,NA,NA,Not indexed,NA,NA,Not indexed#,NA,NA,NA,NA,NA,NA,NA
198296,Child health_1,PARTIAL,0376614,Klinika oczna,11,1923,,NA,NA,NA,NA,http://www.klinikaoczna.pl/Czasopismo/Klinika_Oczna-124/Archiwum,HTML/PDF,N,Free,Polish,,0023-2157,NR,0023-2157,Ophthalmology,YES,NO,NO,NO,YES,2014,,Deselected,1965,2016,Deselected,1965,2016,Not indexed#,NA,NA,NA,NA,NA,NA,NA
5272,Allergy & intolerance_1,NO,0143570,Jibi inko?ka rinsho?. Practica otologica Kyoto.,16,1925,,NA,NA,NA,NA,https://www.jstage.jst.go.jp/browse/jibirin/list/-char/ja,HTML/PDF,N,Free,Japanese,,0032-6313,1884-4545,0032-6313,Otolaryngology,YES,NO,NO,NO,YES,1925,,Not indexed,NA,NA,Not indexed,NA,NA,Not indexed#,NA,NA,NA,NA,NA,NA,NA
270263,Child health_1,NO,101659622,Journal of retailing.,4,1925,,NA,NA,NA,NA,https://www.sciencedirect.com/journal/journal-of-retailing/issues,HTML/PDF,Y/N,Free/Pay,English,,0022-4359,1873-3271,0022-4359,UPDATE,YES,NO,NO,NO,YES,1993,,Not indexed,NA,NA,Not indexed,NA,NA,Not indexed#,NA,NA,NA,NA,NA,NA,NA
181833,Child health_1,NO,0240017,Releve? e?pide?miologique hebdomadaire,5,1928,,NA,NA,NA,NA,https://apps.who.int/iris/,PDF,N,Free,English,Access through WHO IRIS database (searched for Weekly Epidemiological Record),0049-8114,1996-8345,0049-8114,Communicable Diseases; Epidemiology; Quarantine; Vaccination,YES,NO,NO,NO,YES,1926,,Deselected,1990,2018,Deselected,1990,2018,Not indexed#,NA,NA,NA,NA,NA,NA,NA
233915,Child health_1,PARTIAL,7504994,Hefte zur Unfallheilkunde,22,1929,1992,NA,NA,NA,NA,https://www.springer.com/series/10456/books?page=1,HTML/PDF,N,Free,English/Gemran,,0085-1469,NR,0085-1469,Accidents; Occupational Medicine; Social Medicine; Social Security,YES,NO,NO,NO,YES,1969,2019,Deselected,1965,1984,Deselected,1965,1984,Not indexed#,NA,NA,NA,NA,NA,NA,NA
260002,Child health_1,NO,0406650,Annals of mathematical statistics.,6,1930,1972,NA,NA,NA,NA,https://projecteuclid.org/journals/annals-of-mathematical-statistics/issues,PDF,N,Free,English,,0003-4851,NR,0003-4851,Mathematics; Statistics as Topic,YES,NO,NO,NO,YES,1930,1972,Not indexed,NA,NA,Not indexed,NA,NA,Not indexed#,NA,NA,NA,NA,NA,NA,NA
132996,Child health_1,PARTIAL,20130240R,Review of educational research,11,1931,,NA,NA,NA,NA,https://journals.sagepub.com/loi/RER,HTML/PDF,N,Free,English,,0034-6543,NR,0034-6543,Education; Psychological Tests,YES,NO,NO,NO,YES,1931,,Not indexed,NA,NA,Not indexed,NA,NA,Not indexed#,NA,NA,NA,NA,NA,NA,NA
389574,Child health_1,NO,7505608,Journal of the Indian Medical Association,4,1931,,NA,NA,NA,NA,http://www.ima-india.org/eJIMA/,PDF,N,Free,English,robots.txt just showing loading wheel,0019-5847,NR,0019-5847,Medicine,YES,YES,YES,NO,NO,2015,,Deselected,1965,2013,Deselected,1965,2013,Not indexed#,NA,NA,NA,NA,NA,NA,NA
10222,Blood disorders_1,NO,0376635,Meditsinskaia parazitologiia i parazitarnye bolezni,14,1932,,NA,NA,NA,NA,http://medparasitology.com/,HTML,N,Free,English/Russian,,0025-8326,NR,0025-8326,Parasitic Diseases; Parasitology,YES,NO,NO,NO,YES,2017,,Deselected,1998,2017,Deselected,1998,2017,Not indexed#,NA,NA,NA,NA,NA,NA,NA
794405,Gynaecology_1,NO,0372766,East African medical journal,12,1932,,NA,NA,NA,NA,https://www.ajol.info/index.php/eamj/issue/archive,HTML/PDF,Y/N,Free/Pay,English,,0012-835X,NR,0012-835X,Medicine; Tropical Medicine,YES,NO,NO,NO,YES,1999,,Deselected,1965,2016,Deselected,1965,2016,Not indexed#,NA,NA,NA,NA,NA,NA,NA
HTA_10931,,PARTIAL,101085302,Econometrica,,1933,,NA,NA,NA,NA,https://www.jstor.org/journal/econometrica,HTML/PDF,Y/N,Free/Pay,English,,0012-9682,NR,0012-9682,UPDATE,YES,NO,NO,NO,YES,1933,2019,Selected citations only,Unknown,Unknown,Selected citations only,Unknown,Unknown,Not indexed#,NA,NA,NA,NA,NA,NA,NA
241815,Child health_1,PARTIAL,0370660,Dental Cadmos,11,1933,,NA,NA,NA,NA,https://www.sciencedirect.com/journal/dental-cadmos/issues,HTML,N,Free,English/Italian,,0011-8524,NR,0011-8524,Dentistry,YES,YES,YES,NO,NO,2011,2016,Deselected,1965,1991,Deselected,1965,1991,Not indexed#,NA,NA,NA,NA,NA,NA,NA
409346,Complementary & alternative medicine_1,NO,0417372,Urologia,5,1934,,NA,NA,NA,NA,https://journals.sagepub.com/loi/URJ,HTML/PDF,Y/N,Free/Pay,English,,0391-5603,1724-6075,0391-5603,Urology,YES,YES,YES,NO,NO,1965,,Currently-indexed,2010,,Currently-indexed,2010,,Not indexed#,NA,NA,NA,NA,NA,NA,NA
149462,Child health_1,NO,2985188R,Jornal de pediatria,12,1934,,NA,NA,NA,NA,https://www.scielo.br/j/jped/grid,HTML/PDF,N,Free,Portuguese/English,,0021-7557,1678-4782,0021-7557,Pediatrics,YES,YES,YES,NO,NO,2001,,Not indexed,NA,NA,Not indexed,NA,NA,Indexed,2020,2022,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/4280/
235334,Child health_1,NO,19930130R,Public opinion quarterly,58,1937,,NA,NA,NA,NA,https://academic.oup.com/poq,HTML,N,Free,English,,0033-362X,1537-5331,0033-362X,Public Relations; Sociology,YES,NO,NO,NO,YES,1937,,Not indexed,NA,NA,Not indexed,NA,NA,Indexed,2008,2022,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Public+Opin+Q%22%5Bjournal%5D
324579,Child health_1,NO,0405563,Pediatriya (Moscow) ,4,1937,,NA,NA,NA,NA,http://pediatriajournal.ru/archive,PDF,N,Free,Russian,,0031-403X,1990-2182,0031-403X,Pediatrics,YES,YES,YES,NO,NO,2003,,Deselected,1965,1992,Deselected,1965,1992,Not indexed#,NA,NA,NA,NA,NA,NA,NA
207084,Child health_1,NO,7500983,New Zealand journal of physiotherapy.,36,1938,,NA,NA,NA,NA,https://pnz.org.nz/journal,PDF,N,Free,English,,0303-7193,NR,0303-7193,Physical Therapy Modalities,YES,NO,NO,NO,YES,2012,,Not indexed,NA,NA,Not indexed,NA,NA,Not indexed#,NA,NA,NA,NA,NA,NA,NA
58880,Cancer_1,PARTIAL,0370732,Geburtshilfe und Frauenheilkunde,12,1939,,NA,NA,NA,NA,https://www.thieme-connect.de/products/ejournals/journal/10.1055/s-00000020,HTML,N,Free,German,,0016-5751,1438-8804,0016-5751,Gynecology; Obstetrics,YES,YES,YES,NO,NO,1980,,Currently-indexed,1965,,Deselected,1965,1996,Indexed,2006,2022,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2278/
189135,Child health_1,NO,20210010R,Revista de homeopatia.,6,1940,1948,NA,NA,NA,NA,http://revista.aph.org.br/index.php/aph/issue/archive,HTML,N,Free,Portuguese,,NR,NR,NR,Homeopathy,YES,NO,NO,NO,YES,2008,,Not indexed,NA,NA,Not indexed,NA,NA,Not indexed#,NA,NA,NA,NA,NA,NA,NA
393336,Child health_1,NO,7506085 ,Transactions - American Academy of Ophthalmology and Otolaryngology. American Academy of Ophthalmology and Otolaryngology,4,1940,1974,NA,NA,NA,NA,https://jamanetwork.com/journals/jamaophthalmology/issue/140/1,HTML/PDF,Y/N,Pay/Free,English,,0002-7154,NR,0002-7154,Ophthalmology; Otolaryngology; United States,YES,NO,NO,NO,YES,1929,,Continued-by-another-title,1965,1974,Continued-by-another-title,1965,1974,Not indexed#,NA,NA,NA,NA,NA,NA,NA
90803,Cancer_1,NO,19620650R,The Physical educator.,15,1940,,NA,NA,NA,NA,https://js.sagamorepub.com/pe/issue/archive,HTML/PDF,N,Free,English,,0031-8981,NR,0031-8981,Physical Education and Training,YES,NO,NO,NO,YES,1980,,Not indexed,NA,NA,Not indexed,NA,NA,Not indexed#,NA,NA,NA,NA,NA,NA,NA
113454,Child health_1,NO,101311765,Tehran University Medical Journal,85,1942,,NA,NA,NA,NA,https://tumj.tums.ac.ir/browse.php?&slct_pg_id=17&sid=1&slc_lang=en,HTML/PDF,N,Free,English/Persian,,1683-1764,1735-7322,1683-1764,Medicine,YES,YES,YES,NO,NO,1942,,Not indexed,NA,NA,Not indexed,NA,NA,Not indexed#,NA,NA,NA,NA,NA,NA,NA
282656,Child health_1,NO,0376377,Medicina clínica,9,1943,,NA,NA,NA,NA,https://www.sciencedirect.com/journal/medicina-clinica/issues,HTML,N,Free,Spanish,,0025-7753,1578-8989,0025-7753,Medicine,YES,YES,YES,NO,NO,2000,,Currently-indexed,1965,,Currently-indexed,1965,,Not indexed#,NA,NA,NA,NA,NA,NA,NA
155003,Child health_1,PARTIAL,0376371,The Journal of social issues,20,1945,,NA,NA,NA,NA,https://spssi.onlinelibrary.wiley.com/journal/15404560,HTML/PDF,N,Free,English,,0022-4537,1540-4560,0022-4537,"Psychology, Social; Sociology",YES,NO,NO,NO,YES,1945,,Selected citations only,Unknown,Unknown,Selected citations only,Unknown,Unknown,Not indexed#,NA,NA,NA,NA,NA,NA,NA
205913,Child health_1,PARTIAL,0411775 ,Journal of rehabilitation,23,1945,,NA,NA,NA,NA,https://archive.org/details/pub_journal-of-rehabilitation,PDF,N,Free,English,,0022-4154,NR,0022-4154,Rehabilitation,YES,NO,NO,NO,YES,1989,2013,Deselected,1965,1984,Deselected,1965,1984,Not indexed#,NA,NA,NA,NA,NA,NA,NA
182252,Child health_1,NO,0374633 ,Revista de la Sociedad Venezolana de Gastroenterologia ,6,1946,,NA,NA,NA,NA,https://revistagenvenezuela.org/buscador.php?sec=bus,HTML,N,Pay,Spanish,,0016-3503,2477-975X,0016-3503,Digestive System; Endocrinology; Nutritional Physiological Phenomena,YES,NO,NO,NO,YES,2006,,Deselected,1971,1995,Deselected,1971,1995,Not indexed#,NA,NA,NA,NA,NA,NA,NA
181277,Child health_1,NO,2984745R,Deutsche zahna?rztliche Zeitschrift,4,1946,,NA,NA,NA,NA,https://www.online-dzz.de/archiv/,HTML,N,Free,German,,0012-1029,NR,0012-1029,Dentistry,YES,NO,NO,NO,YES,1992,,Not indexed,NA,NA,Not indexed,NA,NA,Not indexed#,NA,NA,NA,NA,NA,NA,NA
434678,Complementary & alternative medicine_1,NO,0400722 ,Medicinski arhiv,4,1947,2012,NA,NA,NA,NA,https://medarch.org/past-issues/,PDF,N,Free,English,,NR,NR,0350-199X,Medicine,YES,YES,YES,NO,NO,2009,,Continued-by-another-title,1963,2012,Continued-by-another-title,1963,2012,Not indexed#,NA,NA,NA,NA,NA,NA,NA
54424,Cancer_1,NO,23430730R,Weekly epidemiological record.,53,1947,,NA,NA,NA,NA,https://www.who.int/publications/journals/weekly-epidemiological-record,HTML/PDF,N,Free,English,,NR,NR,NR,Communicable Diseases; Pakistan,YES,NO,NO,NO,YES,1930,,Not indexed,NA,NA,Not indexed,NA,NA,Not indexed#,NA,NA,NA,NA,NA,NA,NA
151377,Child health_1,NO,0413737 ,Rinsho ganka. Japanese journal of clinical ophthalmology,22,1947,,NA,NA,NA,NA,https://webview.isho.jp/journal/detail/abs/10.11477/mf.1410200168,HTML,N,Free,English,,0370-5579,1882-1308,0370-5579,Ophthalmology,YES,NO,NO,NO,YES,1947,,Selected citations only,Unknown,Unknown,Unknown,Unknown,Unknown,Not indexed#,NA,NA,NA,NA,NA,NA,NA
55395,Cancer_1,NO,0100630,Revista brasileira de cancerologia.,5,1947,,NA,NA,NA,NA,https://rbc.inca.gov.br/index.php/revista/issue/archive,HTML/PDF,N,Free,Portuguese,,0034-7116,2176-9745,0034-7116,Neoplasms,YES,NO,NO,NO,YES,2000,,Not indexed,NA,NA,Not indexed,NA,NA,Not indexed#,NA,NA,NA,NA,NA,NA,NA
